"","V1","V2"
"python",-42.1175390690832,67.6397730440274
"r",-45.3437348318063,48.7077875396699
"plot",-42.9504758510234,46.2446300674629
"algorithm",-47.0213733794844,-34.9664400042227
"text",-30.6925801939541,3.14915943282224
"statistics",-8.76602435740369,13.2656689935729
"arrays",-50.5991383936569,-35.6335769541938
"for-loop",-58.942138723609,-11.9823480107337
"ggplot2",-43.3111566744148,46.6460276217027
"data.frame",-44.5618098666662,47.8930119774072
"timer",27.8036762021261,26.2033352957067
"csv",-58.910665464715,-8.81089310670366
"matrix",-42.5961523761254,45.5138168877148
"split",-50.3350737688397,-4.19402344472597
"string",-47.9943222215522,-36.1378290983966
"regex",-47.8678561814009,-37.3071695335261
"load",23.9949222232948,8.71045130473794
"database",-19.8351627424085,31.9402093029689
"count",-12.7283064162169,24.551697067669
"file",-54.1235668563959,-14.174863064027
"command-line",-48.4356742331788,4.98030553159193
"google-maps",12.5260230241223,43.1856427033502
"list",-38.8061755489287,67.6735239341573
"indexing",-22.2077317624339,24.9073821638867
"vector",-67.0870901096803,-29.4853310333079
"math",-39.3634514120576,-29.5225815742966
"loops",-59.4632517132031,-11.9206905522526
"dataset",6.45068118744018,-21.3603315888085
"graph",-8.68126972758565,11.983345686877
"date",-62.166252468817,-11.5471959598644
"xml",-6.70610148397895,-76.8596940510325
"nested",-22.0730707746481,-11.4498660040713
"floating-point",-41.5003653692114,-23.4432108517114
"merge",-51.527050203058,27.2478548441826
"graphics",30.4919505638572,33.9232935440184
"binding",51.8557984220917,30.1096458075089
"integer",-36.2378879700783,-21.7528154224105
"replace",-50.362809915909,-4.11570985407412
"colors",28.4579265446235,24.7641770880393
"hex",-35.869947598529,-19.9329034916401
"duplicates",-10.0237422929605,21.3686570919879
"function",-59.5288889188149,-14.1072618792054
"switch-statement",-29.9817010134756,-18.9253837753496
"parallel-processing",-15.3593200312707,-18.1192518355975
"pdf",33.7804831368184,-29.7549331679679
"documentation",-11.9278788072962,-9.9956275518701
"table",39.5221439837617,6.14152382413922
"attributes",8.26175120492201,-28.7903611459502
"dictionary",-35.7039008322623,67.7106033424181
"functional-programming",-27.8554020689196,-16.0890770725105
"unicode",0.787790052132272,-43.9775878177063
"charts",-23.8636742991619,3.75757025344941
"grep",-52.9981195944513,6.59147196067826
"xml-parsing",7.70838122309854,-35.6313499132636
"web-scraping",15.2731470013747,22.3841097441509
"osx",35.0723646823412,74.0495819170075
"github",-58.559170454652,37.3732785180687
"video",-6.23620575616595,42.2296936041241
"youtube",10.533839957516,2.39068346662667
"windows",-74.5442084906238,2.06619924608896
"generics",-5.19656364782169,-61.3696205695526
"excel",36.888133659327,46.5627140840104
"import",-15.070679410179,-10.6683343898612
"ms-word",-33.8871115297383,30.859400913484
"git",-59.3673582560519,38.4700202117884
"sorting",-57.0671632370032,-10.365030433196
"random",-34.2103623448568,-25.3511724495798
"search",-29.1234101387351,0.313928031091109
"sum",-10.6992753391789,22.1670596701621
"escaping",-33.7117872785767,1.38585143068771
"error-handling",32.1535851890248,-28.2759030882807
"if-statement",-60.5302702476952,-11.3291484235758
"order",-9.0339064368162,20.5424468757317
"char",-48.1468389308102,-24.5432609776725
"ruby",-24.4292564185799,-74.111323070424
"tags",26.5340601663457,0.0238244643830372
"design-patterns",-24.9645583700346,-29.7712630272696
"mapreduce",-1.64270815089271,-9.90788889029418
"curl",26.9486351075277,-22.9105589220987
"html5",43.9940757951531,1.49674860932652
"variables",-56.496148414808,-12.7263165868688
"animation",32.9987609107085,27.6639462595554
"html",-5.74244581100395,32.2971273873968
"segmentation-fault",-48.7482211756746,-22.9059463126454
"garbage-collection",-24.1711977638056,-39.0054293154125
"twitter",15.497358189096,0.907873527840532
"css",-5.74261018433711,32.2973279120096
"css3",44.834091966968,2.6480945369992
"printf",-50.8403402916305,-23.5724919133295
"parsing",-56.062812309467,-9.72350941814012
"url",28.8514814152844,-10.4626038620751
"compare",-27.6313695956707,-0.642354658925958
"numbers",-27.7518148068267,-1.88566756732906
"imagemagick",-35.775375125646,1.5211291972106
"performance",-31.1746042233349,-41.3481602047285
"time",-33.6399765909767,-24.3027003125785
"input",32.7170086311335,6.81823669006119
"user",10.0807779768792,-12.7200993402748
"class",-35.3550036263705,-42.8928084012181
"filter",10.7522950360435,-15.3190490489114
"ssl",-22.5375847624756,-48.4236283922498
"map",-38.9764306168312,-37.7422777654802
"perl",-27.4984878004553,51.6562736086954
"machine-learning",-8.45824176256203,10.0797447303505
"image",30.8800354634869,31.8622610229436
"unit-testing",31.9340261862919,-43.4403127870679
"audio",21.4094555200516,52.3557147733486
"datetime",0.183316426279599,-59.7151434663925
"boolean",-27.8534918703506,-18.2433464315311
"encoding",2.37408726367186,-43.0735489367616
"sql",-19.9546520098735,33.1200134423464
"installation",-12.6179701884802,-9.04719357033251
"xpath",10.5675054666909,-42.7056365203883
"memory-management",-43.4850098914722,-29.3510785233871
"printing",24.3648647149343,20.7413458787949
"javascript",14.1970944986381,45.5788297364346
"binary",-36.7961847413787,-20.6047588236648
"character-encoding",43.7320790524626,-35.9480357781646
"python-3.x",-40.2896845648686,67.5906921371029
"google-spreadsheet",-34.3394638906173,31.550544460725
"automation",-21.3547240060093,1.28877789767495
"java",-27.3005128116322,-55.5187046677852
"grid",38.1974693509499,23.822944503497
"annotations",-9.42875696163069,-31.1043681969132
"django",66.3053907178571,-38.4453661854003
"google-app-engine",61.2360995659179,-38.9770249441521
"file-io",-40.4223814993624,-21.6737119363806
"numpy",-34.2477700265308,67.7263657315905
"recursion",-34.9969761309166,-26.4934467481629
"object",14.2270234285398,35.4191958241986
"types",-22.1898246893138,21.5467190312723
"logging",-33.180374591379,12.5220618940583
"batch-file",-6.01601635810929,-43.1711974043378
"http",39.8831813521811,-37.1629608864215
"methods",-30.2016176614289,-28.2129497490984
"static",-29.4321258864898,-33.6170029817224
"inheritance",-36.915628440263,-41.9097412776833
"scope",8.52715040419019,32.4360586188815
"json",37.7463113486006,-45.486377052593
"django-templates",63.0084462152382,-38.2329010457763
"c",-55.2507578990058,-30.4190443746395
"sockets",-26.0509068422639,-52.3724698947768
